Vin,Vout,Frec,Phas
10.30,10.30,0.10,3.01
10.30,10.30,0.20,
10.30,10.10,0.30,
10.30,10.10,0.40,
10.10,10.00,0.50,2.64
10.10,10.00,0.60,
10.10,10.00,0.70,
10.10,9.80,0.80,
10.10,9.80,0.90,
10.10,9.60,1.00,2.01
10.10,9.60,1.10,
10.10,9.40,1.20,1.58
10.10,9.20,1.30,
10.10,8.80,1.40,1.02
10.10,8.40,1.50,0.79
10.10,7.80,1.60,0.60
10.10,7.40,1.70,0.43
10.10,6.80,1.80,0.14
10.10,6.20,1.90,0.01
10.10,4.80,2.00,0.06
10.10,2.72,2.40,0.39
10.10,1.67,2.80,0.65
10.10,1.36,3.00,0.75
10.10,0.86,3.50,
10.10,0.82,3.60,
10.10,0.65,3.70,
10.10,0.60,3.80,
10.10,0.55,3.90,
10.10,0.51,4.00,1.00
10.10,0.48,4.10,
10.10,0.45,4.20,
10.10,0.42,4.30,
10.10,0.38,4.40,
10.10,0.36,4.50,1.13
10.10,0.20,5.50,1.14
10.10,0.14,6.50,
10.10,0.08,8.50,
10.10,0.05,9.50,
